SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FGA,FTA,TOV,AST_PCT,TEAM_NAME,GP_TEAM,FGA_TEAM,FTA_TEAM,TOV_TEAM,PLAYER_POSSESSIONS,TEAM_POSSESSIONS,USG_PCT,SELF_CREATION_INDEX,AST_TO_USG_RATIO,SHOT_CREATION_LOAD,SELFISHNESS_SCORE,KOBE_QUOTIENT,TEAM_RANK,LEAGUE_RANK
2023-24,1628436,Luke Kornet,1610612738,BOS,63,983.31,203,54,21,0.089,Boston Celtics,82,7396,1654,979.0,247.76,9102.76,0.027218118460774533,0.027193894335344446,0.032698806909912816,0.8193412980303519,57.43995069903802,0.027193894335344446,11,336
2023-24,1629629,Cam Reddish,1610612747,LAL,48,984.0616666666666,234,54,31,0.062,Los Angeles Lakers,82,7177,1983,1146.0,288.76,9195.52,0.03140224805122494,0.031382778657433184,0.019743809391882534,0.8103615459204876,57.43852084045875,0.031382778657433184,12,337
2023-24,201577,Robin Lopez,1610612749,MIL,16,64.73,19,2,2,0.087,Milwaukee Bucks,82,7258,1960,1059.0,21.88,9179.4,0.0023835980565178553,0.0023815243262086845,0.36499442413162697,0.8683729433272396,57.428002788805514,0.0023815243262086845,12,338
2023-24,201959,Taj Gibson,1610612765,DET,20,204.50333333333333,37,2,5,0.071,Detroit Pistons,82,7236,1780,1248.0,42.88,9267.2,0.0046270718232044195,0.004623786602209945,0.15344477611940296,0.8628731343283581,57.41414555949534,0.004623786602209945,16,339
2023-24,1641731,Bilal Coulibaly,1610612764,WAS,63,1715.25,432,131,87,0.086,Washington Wizards,82,7493,1657,1147.0,576.64,9369.08,0.061547131628719144,0.061494201095518446,0.013973031354051054,0.7491675915649278,57.410837096447324,0.061494201095518446,9,340
2023-24,1631116,Patrick Baldwin Jr.,1610612764,WAS,38,493.5083333333333,155,28,19,0.078,Washington Wizards,82,7493,1657,1147.0,186.32,9369.08,0.019886691115883308,0.01987117949681292,0.03922221124946329,0.8319021039072564,57.40230972278046,0.01987117949681292,10,341
2023-24,203967,Dario Šarić,1610612744,GSW,64,1097.7516666666668,388,93,78,0.187,Golden State Warriors,82,7515,1644,1174.0,506.92,9412.36,0.053856843554645165,0.05375613125719798,0.034721678371340645,0.765406770299061,57.38760914816703,0.05375613125719798,9,342
2023-24,1631303,Justin Minaya,1610612757,POR,34,380.98333333333335,74,9,9,0.08,Portland Trail Blazers,82,7356,1680,1249.0,86.96,9344.2,0.009306307656086126,0.009298862609961257,0.08596320147194114,0.8509659613615456,57.359571533474366,0.009298862609961257,13,343
2023-24,1630256,Jae'Sean Tate,1610612745,HOU,65,1031.4566666666667,229,39,37,0.085,Houston Rockets,82,7459,1916,1045.0,283.15999999999997,9347.04,0.030294082404697095,0.030268332434653104,0.02805828506851251,0.8087300466167539,57.35236422852296,0.030268332434653104,11,344
2023-24,1641724,Jett Howard,1610612753,ORL,18,66.51666666666667,30,4,3,0.162,Orlando Magic,82,6964,2002,1206.0,34.760000000000005,9050.880000000001,0.0038405105359920803,0.0038342889089237734,0.421818918296893,0.863060989643268,57.350040214305054,0.0038342889089237734,12,345
